2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | ================================================================================
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | Running PSO for number_of_sensors=3
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso | PSO seeds | pso_seed=321 | scenario_seed=123
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 12/80 | best_global_cost=12.312 | iter_best=18.437
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 13/80 | best_global_cost=12.312 | iter_best=34.726
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 14/80 | best_global_cost=12.312 | iter_best=21.644
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 15/80 | best_global_cost=12.312 | iter_best=22.490
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 16/80 | best_global_cost=12.312 | iter_best=28.647
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 17/80 | best_global_cost=12.312 | iter_best=31.338
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 18/80 | best_global_cost=12.312 | iter_best=19.874
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 19/80 | best_global_cost=12.312 | iter_best=32.415
2026-02-23 21:35:27 | INFO | underwater_sensor_ga.pso | PSO iter 20/80 | best_global_cost=12.312 | iter_best=17.827
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 21/80 | best_global_cost=12.312 | iter_best=30.372
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 22/80 | best_global_cost=12.312 | iter_best=26.499
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 23/80 | best_global_cost=12.312 | iter_best=23.701
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 24/80 | best_global_cost=12.312 | iter_best=14.328
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 25/80 | best_global_cost=12.312 | iter_best=21.502
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 26/80 | best_global_cost=12.312 | iter_best=14.637
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 27/80 | best_global_cost=12.312 | iter_best=23.711
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 28/80 | best_global_cost=12.312 | iter_best=24.037
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 29/80 | best_global_cost=12.312 | iter_best=18.706
2026-02-23 21:35:28 | INFO | underwater_sensor_ga.pso | PSO iter 30/80 | best_global_cost=12.312 | iter_best=21.543
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 31/80 | best_global_cost=12.312 | iter_best=23.892
