2026-02-21 22:44:05 | INFO | underwater_sensor_ga.ga | Generation 97/500 | best_global_cost=4.474 | generation_best=4.867
2026-02-21 22:44:07 | INFO | underwater_sensor_ga.ga | Generation 98/500 | best_global_cost=4.474 | generation_best=4.814
2026-02-21 22:44:09 | INFO | underwater_sensor_ga.ga | Generation 99/500 | best_global_cost=4.474 | generation_best=4.920
2026-02-21 22:44:12 | INFO | underwater_sensor_ga.ga | Generation 100/500 | best_global_cost=4.474 | generation_best=4.837
2026-02-21 22:44:14 | INFO | underwater_sensor_ga.ga | Generation 101/500 | best_global_cost=4.474 | generation_best=4.896
2026-02-21 22:44:16 | INFO | underwater_sensor_ga.ga | Generation 102/500 | best_global_cost=4.474 | generation_best=4.878
2026-02-21 22:44:19 | INFO | underwater_sensor_ga.ga | Generation 103/500 | best_global_cost=4.474 | generation_best=4.839
2026-02-21 22:44:21 | INFO | underwater_sensor_ga.ga | Generation 104/500 | best_global_cost=4.474 | generation_best=4.793
2026-02-21 22:44:23 | INFO | underwater_sensor_ga.ga | Generation 105/500 | best_global_cost=4.474 | generation_best=4.702
2026-02-21 22:44:25 | INFO | underwater_sensor_ga.ga | Generation 106/500 | best_global_cost=4.474 | generation_best=4.923
2026-02-21 22:44:27 | INFO | underwater_sensor_ga.ga | Generation 107/500 | best_global_cost=4.474 | generation_best=4.708
2026-02-21 22:44:30 | INFO | underwater_sensor_ga.ga | Generation 108/500 | best_global_cost=4.474 | generation_best=4.701
2026-02-21 22:44:32 | INFO | underwater_sensor_ga.ga | Generation 109/500 | best_global_cost=4.474 | generation_best=4.749
2026-02-21 22:44:34 | INFO | underwater_sensor_ga.ga | Generation 110/500 | best_global_cost=4.474 | generation_best=5.000
2026-02-21 22:44:36 | INFO | underwater_sensor_ga.ga | Generation 111/500 | best_global_cost=4.474 | generation_best=4.979
2026-02-21 22:44:38 | INFO | underwater_sensor_ga.ga | Generation 112/500 | best_global_cost=4.474 | generation_best=4.967
2026-02-21 22:44:41 | INFO | underwater_sensor_ga.ga | Generation 113/500 | best_global_cost=4.474 | generation_best=4.832
2026-02-21 22:44:43 | INFO | underwater_sensor_ga.ga | Generation 114/500 | best_global_cost=4.474 | generation_best=4.953
2026-02-21 22:44:45 | INFO | underwater_sensor_ga.ga | Generation 115/500 | best_global_cost=4.474 | generation_best=4.770
2026-02-21 22:44:48 | INFO | underwater_sensor_ga.ga | Generation 116/500 | best_global_cost=4.474 | generation_best=4.944
2026-02-21 22:44:50 | INFO | underwater_sensor_ga.ga | Generation 117/500 | best_global_cost=4.474 | generation_best=4.885
2026-02-21 22:44:52 | INFO | underwater_sensor_ga.ga | Generation 118/500 | best_global_cost=4.474 | generation_best=4.896
2026-02-21 22:44:54 | INFO | underwater_sensor_ga.ga | Generation 119/500 | best_global_cost=4.474 | generation_best=5.027
2026-02-21 22:44:57 | INFO | underwater_sensor_ga.ga | Generation 120/500 | best_global_cost=4.474 | generation_best=4.690
2026-02-21 22:44:59 | INFO | underwater_sensor_ga.ga | Generation 121/500 | best_global_cost=4.474 | generation_best=4.602
2026-02-21 22:45:01 | INFO | underwater_sensor_ga.ga | Generation 122/500 | best_global_cost=4.474 | generation_best=4.713
2026-02-21 22:45:03 | INFO | underwater_sensor_ga.ga | Generation 123/500 | best_global_cost=4.474 | generation_best=4.882
2026-02-21 22:45:06 | INFO | underwater_sensor_ga.ga | Generation 124/500 | best_global_cost=4.474 | generation_best=4.908
2026-02-21 22:45:08 | INFO | underwater_sensor_ga.ga | Generation 125/500 | best_global_cost=4.474 | generation_best=4.748
2026-02-21 22:45:10 | INFO | underwater_sensor_ga.ga | Generation 126/500 | best_global_cost=4.474 | generation_best=4.910
2026-02-21 22:45:12 | INFO | underwater_sensor_ga.ga | Generation 127/500 | best_global_cost=4.474 | generation_best=4.892
2026-02-21 22:45:15 | INFO | underwater_sensor_ga.ga | Generation 128/500 | best_global_cost=4.474 | generation_best=4.763
2026-02-21 22:45:17 | INFO | underwater_sensor_ga.ga | Generation 129/500 | best_global_cost=4.474 | generation_best=4.937
2026-02-21 22:45:19 | INFO | underwater_sensor_ga.ga | Generation 130/500 | best_global_cost=4.474 | generation_best=4.792
2026-02-21 22:45:21 | INFO | underwater_sensor_ga.ga | Generation 131/500 | best_global_cost=4.474 | generation_best=4.901
2026-02-21 22:45:24 | INFO | underwater_sensor_ga.ga | Generation 132/500 | best_global_cost=4.474 | generation_best=4.948
2026-02-21 22:45:26 | INFO | underwater_sensor_ga.ga | Generation 133/500 | best_global_cost=4.474 | generation_best=5.036
2026-02-21 22:45:28 | INFO | underwater_sensor_ga.ga | Generation 134/500 | best_global_cost=4.474 | generation_best=4.877
2026-02-21 22:45:30 | INFO | underwater_sensor_ga.ga | Generation 135/500 | best_global_cost=4.474 | generation_best=4.878
2026-02-21 22:45:32 | INFO | underwater_sensor_ga.ga | Generation 136/500 | best_global_cost=4.474 | generation_best=4.902
2026-02-21 22:45:35 | INFO | underwater_sensor_ga.ga | Generation 137/500 | best_global_cost=4.474 | generation_best=4.923
2026-02-21 22:45:37 | INFO | underwater_sensor_ga.ga | Generation 138/500 | best_global_cost=4.474 | generation_best=4.908
2026-02-21 22:45:39 | INFO | underwater_sensor_ga.ga | Generation 139/500 | best_global_cost=4.474 | generation_best=5.036
2026-02-21 22:45:42 | INFO | underwater_sensor_ga.ga | Generation 140/500 | best_global_cost=4.474 | generation_best=4.725
2026-02-21 22:45:44 | INFO | underwater_sensor_ga.ga | Generation 141/500 | best_global_cost=4.474 | generation_best=4.873
2026-02-21 22:45:46 | INFO | underwater_sensor_ga.ga | Generation 142/500 | best_global_cost=4.474 | generation_best=5.072
2026-02-21 22:45:48 | INFO | underwater_sensor_ga.ga | Generation 143/500 | best_global_cost=4.474 | generation_best=4.807
2026-02-21 22:45:51 | INFO | underwater_sensor_ga.ga | Generation 144/500 | best_global_cost=4.474 | generation_best=4.917
2026-02-21 22:45:53 | INFO | underwater_sensor_ga.ga | Generation 145/500 | best_global_cost=4.474 | generation_best=4.967
2026-02-21 22:45:55 | INFO | underwater_sensor_ga.ga | Generation 146/500 | best_global_cost=4.474 | generation_best=4.826
2026-02-21 22:45:58 | INFO | underwater_sensor_ga.ga | Generation 147/500 | best_global_cost=4.474 | generation_best=4.864
2026-02-21 22:46:00 | INFO | underwater_sensor_ga.ga | Generation 148/500 | best_global_cost=4.474 | generation_best=4.728
2026-02-21 22:46:02 | INFO | underwater_sensor_ga.ga | Generation 149/500 | best_global_cost=4.474 | generation_best=4.903
2026-02-21 22:46:05 | INFO | underwater_sensor_ga.ga | Generation 150/500 | best_global_cost=4.474 | generation_best=4.701
2026-02-21 22:46:07 | INFO | underwater_sensor_ga.ga | Generation 151/500 | best_global_cost=4.474 | generation_best=4.856
2026-02-21 22:46:09 | INFO | underwater_sensor_ga.ga | Generation 152/500 | best_global_cost=4.474 | generation_best=4.983
2026-02-21 22:46:11 | INFO | underwater_sensor_ga.ga | Generation 153/500 | best_global_cost=4.474 | generation_best=4.979
2026-02-21 22:46:14 | INFO | underwater_sensor_ga.ga | Generation 154/500 | best_global_cost=4.474 | generation_best=4.834
2026-02-21 22:46:16 | INFO | underwater_sensor_ga.ga | Generation 155/500 | best_global_cost=4.474 | generation_best=4.777
