generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
42,GA_best_gen,5.168623694829454,4.762585599214814,0.0,30,30
42,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
43,GA_best_gen,5.264315713417535,4.863417936582348,0.0,30,30
43,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
44,GA_best_gen,5.078181957800231,4.7118298601448725,0.0,30,30
44,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
45,GA_best_gen,5.086187470836944,4.70813361259179,0.0,30,30
45,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
46,GA_best_gen,5.116656845759538,4.719608777515901,0.0,30,30
46,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
47,GA_best_gen,5.028172392900014,4.6837881149983485,0.0,30,30
47,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
48,GA_best_gen,5.041864277168686,4.668292276401079,0.0,30,30
48,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
49,GA_best_gen,5.201274798837594,4.7742960183628,0.0,30,30
49,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
50,GA_best_gen,5.011554697578857,4.645440486732974,0.0,30,30
50,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
51,GA_best_gen,5.140692301987727,4.760005539938268,0.0,30,30
51,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
52,GA_best_gen,5.213938212023789,4.798543585149437,0.0,30,30
52,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
53,GA_best_gen,5.105572903183658,4.692644522507156,0.0,30,30
53,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
54,GA_best_gen,4.99636845929,4.625825868570262,0.0,30,30
54,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
55,GA_best_gen,5.037585311033576,4.705158719662715,0.0,30,30
55,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
56,GA_best_gen,5.0264930775905095,4.690675955829699,0.0,30,30
56,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
57,GA_best_gen,5.252218461482766,4.821713113860068,0.0,30,30
57,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
58,GA_best_gen,5.180681006726982,4.771839378079858,0.0,30,30
58,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
59,GA_best_gen,4.94317154927317,4.602498844952996,0.0,30,30
59,GA_best_global,4.94317154927317,4.602498844952996,0.0,30,30
60,GA_best_gen,4.553438254281663,4.334294436004184,0.0,30,30
60,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
61,GA_best_gen,4.814301111614454,4.480468501032681,0.0,30,30
61,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
62,GA_best_gen,5.019571249127039,4.667258874325627,0.0,30,30
62,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
63,GA_best_gen,4.979670816779252,4.622256158932327,0.0,30,30
63,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
64,GA_best_gen,5.3598967188285025,4.927379318153025,0.0,30,30
64,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
65,GA_best_gen,4.745452312580259,4.467830558942228,0.0,30,30
65,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
66,GA_best_gen,4.8538352472444455,4.550299127939665,0.0,30,30
66,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
67,GA_best_gen,5.082359940917133,4.747718655507678,0.0,30,30
67,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
68,GA_best_gen,4.97247500154429,4.6043658948387804,0.0,30,30
68,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
69,GA_best_gen,5.169490191483216,4.773905534060651,0.0,30,30
69,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
70,GA_best_gen,5.2074317566477335,4.7784006569028925,0.0,30,30
70,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
71,GA_best_gen,5.320942501637949,4.878079649035274,0.0,30,30
71,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
72,GA_best_gen,5.073745860207048,4.699670638430411,0.0,30,30
72,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
73,GA_best_gen,5.040055782378076,4.701564834641976,0.0,30,30
73,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
74,GA_best_gen,4.907472626375554,4.549560539692158,0.0,30,30
74,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
75,GA_best_gen,5.184937353162432,4.805210948296419,0.0,30,30
75,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
76,GA_best_gen,4.92224096597293,4.617052553891954,0.0,30,30
76,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
77,GA_best_gen,5.1857025418526765,4.777832306257479,0.0,30,30
77,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
78,GA_best_gen,5.347695864345429,4.92082098626736,0.0,30,30
78,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
79,GA_best_gen,4.9265804782316485,4.60625072781221,0.0,30,30
79,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
80,GA_best_gen,5.334581212849996,4.869239533415503,0.0,30,30
80,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
81,GA_best_gen,5.050954168465827,4.70712221720359,0.0,30,30
81,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
82,GA_best_gen,4.916455411533228,4.576669149546819,0.0,30,30
82,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
83,GA_best_gen,5.209612184486247,4.772948877899026,0.0,30,30
83,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
84,GA_best_gen,4.9917129188322855,4.613827295697943,0.0,30,30
84,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
85,GA_best_gen,5.109284189266566,4.695357688335007,0.0,30,30
85,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
86,GA_best_gen,5.281988902137958,4.8365602735272555,0.0,30,30
86,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
87,GA_best_gen,4.862165384602861,4.560380313742763,0.0,30,30
87,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
88,GA_best_gen,4.6309744926354535,4.3619766022789435,0.0,30,30
88,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
89,GA_best_gen,5.081216658794723,4.711373953418221,0.0,30,30
89,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
90,GA_best_gen,4.910237938279548,4.597283791847611,0.0,30,30
90,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
91,GA_best_gen,5.174072765436855,4.778392426365929,0.0,30,30
91,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
92,GA_best_gen,4.996579407382991,4.609857239470019,0.0,30,30
92,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
